species,parameter,value_min,value_max,value_text,unit,is_missing,evidence_grade,evidence_rank,has_conflict,note,source_url,source_url_valid
Aloe vera,crop_cycle_days,210.0,240.0,,,False,database,4.0,False,"Odisha SOP: first harvest 7-8 months after planting, then about 4 harvests per year; plantation profitable for 3-4 years.",https://smpbodisha.in/admin/data/ckeditor/images/060320233178133321_SOP_Cultivation_-_Alovera_-_English.pdf,True
Aloe vera,rainfall_mm_abs_max,4000.0,4000.0,,,False,database,4.0,True,"CONFLICT DISCLOSED: Useful Tropical Plants gives an optimum of 1900-3000 mm, which contradicts Aloe's desert-succulent physiology. The Odisha SOP figure of 1000-1800 mm with irrigation is used as the more defensible input for an Egyptian scenario.",https://smpbodisha.in/admin/data/ckeditor/images/060320233178133321_SOP_Cultivation_-_Alovera_-_English.pdf,True
Aloe vera,rainfall_mm_abs_min,700.0,700.0,,,False,database,4.0,True,"CONFLICT DISCLOSED: Useful Tropical Plants gives an optimum of 1900-3000 mm, which contradicts Aloe's desert-succulent physiology. The Odisha SOP figure of 1000-1800 mm with irrigation is used as the more defensible input for an Egyptian scenario.",https://smpbodisha.in/admin/data/ckeditor/images/060320233178133321_SOP_Cultivation_-_Alovera_-_English.pdf,True
Aloe vera,rainfall_mm_opt_max,1800.0,1800.0,,,False,database,4.0,True,"CONFLICT DISCLOSED: Useful Tropical Plants gives an optimum of 1900-3000 mm, which contradicts Aloe's desert-succulent physiology. The Odisha SOP figure of 1000-1800 mm with irrigation is used as the more defensible input for an Egyptian scenario.",https://smpbodisha.in/admin/data/ckeditor/images/060320233178133321_SOP_Cultivation_-_Alovera_-_English.pdf,True
Aloe vera,rainfall_mm_opt_min,1000.0,1000.0,,,False,database,4.0,True,"CONFLICT DISCLOSED: Useful Tropical Plants gives an optimum of 1900-3000 mm, which contradicts Aloe's desert-succulent physiology. The Odisha SOP figure of 1000-1800 mm with irrigation is used as the more defensible input for an Egyptian scenario.",https://smpbodisha.in/admin/data/ckeditor/images/060320233178133321_SOP_Cultivation_-_Alovera_-_English.pdf,True
Aloe vera,soil_ph_abs_max,8.5,8.5,,,False,database,4.0,False,Odisha SOP: thrives in alkaline conditions up to pH 8.5 and is well suited to saline soils.,https://smpbodisha.in/admin/data/ckeditor/images/060320233178133321_SOP_Cultivation_-_Alovera_-_English.pdf,True
Aloe vera,soil_ph_opt_max,7.5,7.5,,,False,database,4.0,False,"Useful Tropical Plants: prefers 6.5-7.5, tolerating 6-8.",https://tropical.theferns.info/viewtropical.php?id=Aloe+vera,True
Aloe vera,soil_ph_opt_min,6.5,6.5,,,False,database,4.0,False,"Useful Tropical Plants: prefers 6.5-7.5, tolerating 6-8.",https://tropical.theferns.info/viewtropical.php?id=Aloe+vera,True
Aloe vera,soil_salinity,6.0,6.0,practical ceiling,dS/m,False,measured,1.0,False,"University of Guilan: yield declines progressively across 0, 2, 4, 6, 8 dS/m with short-term root stimulation at 2-4 dS/m. A second study found clear damage at 18 dS/m over 45 days.",https://academicjournals.org/journal/JMPR/article-full-text-pdf/43EAF0A33693,True
Aloe vera,temperature_c_abs_max,40.0,40.0,,,False,database,4.0,False,"Useful Tropical Plants: tolerates 10-35 C, only slight damage at -3 C under dry conditions. Odisha SOP upper figure 40 C used.",https://smpbodisha.in/admin/data/ckeditor/images/060320233178133321_SOP_Cultivation_-_Alovera_-_English.pdf,True
Aloe vera,temperature_c_abs_min,10.0,10.0,,,False,database,4.0,False,"Useful Tropical Plants: tolerates 10-35 C, only slight damage at -3 C under dry conditions. Odisha SOP upper figure 40 C used.",https://smpbodisha.in/admin/data/ckeditor/images/060320233178133321_SOP_Cultivation_-_Alovera_-_English.pdf,True
Aloe vera,temperature_c_opt_max,35.0,35.0,,,False,database,4.0,False,Useful Tropical Plants gives 19-27 C; the Odisha State Medicinal Plants Board cultivation SOP gives 25-40 C. Range widened to 19-35 to span both.,https://tropical.theferns.info/viewtropical.php?id=Aloe+vera,True
Aloe vera,temperature_c_opt_min,19.0,19.0,,,False,database,4.0,False,Useful Tropical Plants gives 19-27 C; the Odisha State Medicinal Plants Board cultivation SOP gives 25-40 C. Range widened to 19-35 to span both.,https://tropical.theferns.info/viewtropical.php?id=Aloe+vera,True
Ammi majus,crop_cycle_days,150.0,165.0,,,False,measured,1.0,False,Vidarbha sowing-date trial: harvest 5-5.5 months after sowing; November sowing optimal at 138.6 g seed/plant.,https://www.academia.edu/6965735/,True
Ammi majus,rainfall,,,,,True,not_applicable,,False,No published requirement. Irrigated crop in Egypt.,,
Ammi majus,soil_ph_abs_max,8.5,8.5,,,False,inferred,7.0,False,Sodicity trial: more tolerant than comparators at ESP 33.5 (sodic soils are typically pH 8.5+); growth cut 61% only at ESP 57.4. PFAF lists mildly acid to mildly alkaline. No direct pH-gradient experiment found.,https://scialert.net/fulltext/?doi=rjsb.2012.69.80,True
Ammi majus,soil_ph_abs_min,6.0,6.0,,,False,inferred,7.0,False,Sodicity trial: more tolerant than comparators at ESP 33.5 (sodic soils are typically pH 8.5+); growth cut 61% only at ESP 57.4. PFAF lists mildly acid to mildly alkaline. No direct pH-gradient experiment found.,https://scialert.net/fulltext/?doi=rjsb.2012.69.80,True
Ammi majus,temperature_c_abs_max,35.0,35.0,,,False,derived,6.0,False,Upper bound from a Nagpur sowing-date trial in which the crop matured through a monthly maximum of 43.7 C; 35 used as a conservative growth ceiling. Lower bound derived from the Mediterranean winter-cereal weed habit. No growth-floor experiment exists.,https://www.academia.edu/6965735/,True
Ammi majus,temperature_c_abs_min,8.0,8.0,,,False,derived,6.0,False,Upper bound from a Nagpur sowing-date trial in which the crop matured through a monthly maximum of 43.7 C; 35 used as a conservative growth ceiling. Lower bound derived from the Mediterranean winter-cereal weed habit. No growth-floor experiment exists.,https://www.academia.edu/6965735/,True
Ammi majus,temperature_c_opt_max,22.0,22.0,,,False,literature,3.0,False,"Ansari et al., Research Journal of Soil Biology 4:69-80: commonly grows at 20-22 C.",https://scialert.net/fulltext/?doi=rjsb.2012.69.80,True
Ammi majus,temperature_c_opt_min,20.0,20.0,,,False,literature,3.0,False,"Ansari et al., Research Journal of Soil Biology 4:69-80: commonly grows at 20-22 C.",https://scialert.net/fulltext/?doi=rjsb.2012.69.80,True
Ammi visnaga,crop_cycle_days,210.0,240.0,,,False,measured,1.0,False,"Assiut trial: sown 5 Nov, harvested first week of June (~212 days). Extension guide gives 7-8 months.",https://www.curresweb.com/mejar/mejar/2016/620-628.pdf,True
Ammi visnaga,rainfall,,,,,True,not_applicable,,False,No published rainfall requirement. All Egyptian production is irrigated. Field left blank deliberately.,,
Ammi visnaga,soil_ph_abs_max,8.3,8.3,,,False,database,4.0,False,PFAF and Useful Temperate Plants both state pH 6.8-8.3.,https://pfaf.org/user/Plant.aspx?LatinName=Ammi+visnaga,True
Ammi visnaga,soil_ph_abs_min,6.8,6.8,,,False,database,4.0,False,PFAF and Useful Temperate Plants both state pH 6.8-8.3.,https://pfaf.org/user/Plant.aspx?LatinName=Ammi+visnaga,True
Ammi visnaga,soil_ph_opt_max,8.0,8.0,,,False,measured,1.0,False,"Egyptian field trial, Al-Azhar University Assiut, produced 645-725 kg fruit/feddan on soil of pH 7.87, EC 0.95 dS/m, loam.",https://www.curresweb.com/mejar/mejar/2016/620-628.pdf,True
Ammi visnaga,soil_ph_opt_min,7.0,7.0,,,False,measured,1.0,False,"Egyptian field trial, Al-Azhar University Assiut, produced 645-725 kg fruit/feddan on soil of pH 7.87, EC 0.95 dS/m, loam.",https://www.curresweb.com/mejar/mejar/2016/620-628.pdf,True
Ammi visnaga,temperature_c_abs_max,32.0,32.0,,,False,derived,6.0,False,Bounds of the documented Nov-June growing season in Upper Egypt. No controlled growth-floor experiment exists.,https://guide.dalelkelzerae.com/2013/10/Ammi.html,True
Ammi visnaga,temperature_c_abs_min,5.0,5.0,,,False,derived,6.0,False,Bounds of the documented Nov-June growing season in Upper Egypt. No controlled growth-floor experiment exists.,https://guide.dalelkelzerae.com/2013/10/Ammi.html,True
Ammi visnaga,temperature_c_opt_max,25.0,25.0,,,False,derived,6.0,False,"Derived from the documented Egyptian field season: sown 5 Nov, harvested first week of June at Assiut. Arabic MAP monograph reports peak constituent content at 5-15 C.",https://www.curresweb.com/mejar/mejar/2016/620-628.pdf,True
Ammi visnaga,temperature_c_opt_min,10.0,10.0,,,False,derived,6.0,False,"Derived from the documented Egyptian field season: sown 5 Nov, harvested first week of June at Assiut. Arabic MAP monograph reports peak constituent content at 5-15 C.",https://www.curresweb.com/mejar/mejar/2016/620-628.pdf,True
Atropa belladonna,EGYPT SUITABILITY,,,good,,False,not_applicable,,False,"Calcareous Egyptian soils are this species PREFERRED soil reaction, not merely tolerated. No vernalisation requirement is documented and TNAU classifies it as a winter crop in subtropical areas, matching an October to November transplant. Its native range already includes Morocco and Algeria. Binding constraint is salinity, not pH or heat: it is a glycophyte.",http://eagri.org/eagri50/HORT282/lec28.html,True
Atropa belladonna,LEGAL STATUS,,,check required,,False,not_applicable,,False,"All parts are highly toxic (roots to 1.3 percent tropane alkaloids fresh weight). Cultivation is legal in Europe, North America, Pakistan and Brazil. NO Egypt-specific cultivation restriction was found, which is an open item to verify with the Ministry of Health and the Ministry of Agriculture rather than an assurance. A field trial would need a fenced labelled plot, gloves at harvest, and no grazing access.",https://www.erowid.org/plants/belladonna/belladonna_law.shtml,True
Atropa belladonna,crop_cycle_days,150.0,180.0,,,False,database,4.0,False,"Tamil Nadu Agricultural University: nursery germination 3 weeks, transplant at 15-20 cm after 8-12 weeks, first herb cut about 3 months after transplanting at onset of flowering. Roots harvested in year 3. Yield 1000 kg/ha dry herb year 1, 1500 kg/ha years 2-3, total tropane alkaloids 0.13-0.70 percent.",http://eagri.org/eagri50/HORT282/lec28.html,True
Atropa belladonna,rainfall,,,,,True,not_applicable,,False,"No annual rainfall figure exists in any source checked. Substitute the measured irrigation criterion instead: irrigate back to field capacity at 35 percent depletion of available soil water, which maximises both root biomass and tropane alkaloid yield.",https://www.sciencedirect.com/science/article/abs/pii/S0098847299000143,True
Atropa belladonna,soil_ph_abs_max,8.5,8.5,,,False,database,4.0,False,"NC State Extension lists tolerance of acid, neutral and alkaline soils above pH 8.0. PFAF states it can grow in very alkaline soils. A commercial page giving pH 5.5-6.5 as optimal is contradicted by four independent sources and was rejected.",https://plants.ces.ncsu.edu/plants/atropa-bella-donna/,True
Atropa belladonna,soil_ph_abs_min,5.5,5.5,,,False,database,4.0,False,"NC State Extension lists tolerance of acid, neutral and alkaline soils above pH 8.0. PFAF states it can grow in very alkaline soils. A commercial page giving pH 5.5-6.5 as optimal is contradicted by four independent sources and was rejected.",https://plants.ces.ncsu.edu/plants/atropa-bella-donna/,True
Atropa belladonna,soil_ph_opt_max,8.2,8.2,,,False,database,4.0,False,"The species is a calcicole. EIVE Reaction 7.4/10 (alkaline preference, calcium-rich substrates); best medicinal-quality crop reported from light permeable chalky soil.",https://www.floraveg.eu/en/taxon/overview/Atropa%20bella-donna,True
Atropa belladonna,soil_ph_opt_min,7.0,7.0,,,False,database,4.0,False,"The species is a calcicole. EIVE Reaction 7.4/10 (alkaline preference, calcium-rich substrates); best medicinal-quality crop reported from light permeable chalky soil.",https://www.floraveg.eu/en/taxon/overview/Atropa%20bella-donna,True
Atropa belladonna,temperature_c_abs_max,35.0,35.0,,,False,derived,6.0,False,"No numeric ceiling published. The same Karakalpakstan trial reports that high temperature and low humidity limit stem growth, while noting the species had the highest combined resistance to local hot arid conditions of those tested. 35 C set as a conservative ceiling.",https://www.pnrjournal.com/index.php/home/article/download/3807/3943/4739,True
Atropa belladonna,temperature_c_abs_min,8.0,8.0,,,False,measured,1.0,False,Spring regrowth of second-year plants begins once daily mean temperature crosses 8-10 C (Karakalpakstan field trial).,https://www.pnrjournal.com/index.php/home/article/download/3807/3943/4739,True
Atropa belladonna,temperature_c_opt_max,26.0,26.0,,,False,measured,1.0,False,"Controlled-environment growth study used constant 20, 23 and 26 C to measure growth rate, dry matter and alkaloid content. This is the documented experimental growth window; no field optimum is published.",https://www.electricveg.com/solanaceae/atropa-belladonna.html,True
Atropa belladonna,temperature_c_opt_min,20.0,20.0,,,False,measured,1.0,False,"Controlled-environment growth study used constant 20, 23 and 26 C to measure growth rate, dry matter and alkaloid content. This is the documented experimental growth window; no field optimum is published.",https://www.electricveg.com/solanaceae/atropa-belladonna.html,True
